run_id,combo_id,level,n,frac,p_correct,p_tier1,p_tier2,p_tier3,recall_of_correct
europe_as3209_final_de,million_scale_cbg,L1,0,0.0,,,,,0.0
europe_as3209_final_de,million_scale_cbg,L2,66,0.6875,0.6060606060606061,0.6060606060606061,0.0,0.3939393939393939,0.8888888888888888
europe_as3209_final_de,million_scale_cbg,L3,29,0.3020833333333333,0.1724137931034483,0.0,0.1724137931034483,0.8275862068965517,0.1111111111111111
europe_as3209_final_de,million_scale_cbg,L0,1,0.010416666666666666,0.0,0.0,0.0,1.0,0.0
europe_as3209_final_de,octant_cbg,L1,14,0.14583333333333334,0.5,0.42857142857142855,0.07142857142857142,0.5,0.18421052631578946
europe_as3209_final_de,octant_cbg,L2,7,0.07291666666666667,0.14285714285714285,0.14285714285714285,0.0,0.8571428571428571,0.02631578947368421
europe_as3209_final_de,octant_cbg,L3,9,0.09375,0.1111111111111111,0.0,0.1111111111111111,0.8888888888888888,0.02631578947368421
europe_as3209_final_de,octant_cbg,L0,66,0.6875,0.4393939393939394,0.3787878787878788,0.06060606060606061,0.5606060606060606,0.7631578947368421
europe_as3209_final_de,spotter_cbg,L1,0,0.0,,,,,0.0
europe_as3209_final_de,spotter_cbg,L2,0,0.0,,,,,0.0
europe_as3209_final_de,spotter_cbg,L3,0,0.0,,,,,0.0
europe_as3209_final_de,spotter_cbg,L0,96,1.0,0.17708333333333334,0.08333333333333333,0.09375,0.8229166666666666,1.0
europe_as3209_final_de,vanilla_cbg,L1,10,0.10416666666666667,0.9,0.8,0.1,0.1,0.5
europe_as3209_final_de,vanilla_cbg,L2,27,0.28125,0.14814814814814814,0.14814814814814814,0.0,0.8518518518518519,0.2222222222222222
europe_as3209_final_de,vanilla_cbg,L3,21,0.21875,0.19047619047619047,0.0,0.19047619047619047,0.8095238095238095,0.2222222222222222
europe_as3209_final_de,vanilla_cbg,L0,38,0.3958333333333333,0.02631578947368421,0.0,0.02631578947368421,0.9736842105263158,0.05555555555555555
europe_as3215_final_fr,million_scale_cbg,L1,0,0.0,,,,,0.0
europe_as3215_final_fr,million_scale_cbg,L2,27,0.6923076923076923,0.6666666666666666,0.6666666666666666,0.0,0.3333333333333333,0.8571428571428571
europe_as3215_final_fr,million_scale_cbg,L3,10,0.2564102564102564,0.3,0.0,0.3,0.7,0.14285714285714285
europe_as3215_final_fr,million_scale_cbg,L0,2,0.05128205128205128,0.0,0.0,0.0,1.0,0.0
europe_as3215_final_fr,octant_cbg,L1,9,0.23076923076923078,0.6666666666666666,0.6666666666666666,0.0,0.3333333333333333,0.2727272727272727
europe_as3215_final_fr,octant_cbg,L2,3,0.07692307692307693,0.0,0.0,0.0,1.0,0.0
europe_as3215_final_fr,octant_cbg,L3,0,0.0,,,,,0.0
europe_as3215_final_fr,octant_cbg,L0,27,0.6923076923076923,0.5925925925925926,0.48148148148148145,0.1111111111111111,0.4074074074074074,0.7272727272727273
europe_as3215_final_fr,spotter_cbg,L1,0,0.0,,,,,0.0
europe_as3215_final_fr,spotter_cbg,L2,0,0.0,,,,,0.0
europe_as3215_final_fr,spotter_cbg,L3,0,0.0,,,,,0.0
europe_as3215_final_fr,spotter_cbg,L0,39,1.0,0.358974358974359,0.0,0.358974358974359,0.6410256410256411,1.0
europe_as3215_final_fr,vanilla_cbg,L1,8,0.20512820512820512,0.875,0.875,0.0,0.125,0.875
europe_as3215_final_fr,vanilla_cbg,L2,1,0.02564102564102564,0.0,0.0,0.0,1.0,0.0
europe_as3215_final_fr,vanilla_cbg,L3,14,0.358974358974359,0.07142857142857142,0.0,0.07142857142857142,0.9285714285714286,0.125
europe_as3215_final_fr,vanilla_cbg,L0,16,0.41025641025641024,0.0,0.0,0.0,1.0,0.0
global_as16509_final,million_scale_cbg,L1,69,0.0967741935483871,0.7391304347826086,0.7246376811594203,0.014492753623188406,0.2608695652173913,0.31097560975609756
global_as16509_final,million_scale_cbg,L2,356,0.4992987377279102,0.2612359550561798,0.2612359550561798,0.0,0.7387640449438202,0.5670731707317073
global_as16509_final,million_scale_cbg,L3,263,0.3688639551192146,0.07604562737642585,0.0,0.07604562737642585,0.9239543726235742,0.12195121951219512
global_as16509_final,million_scale_cbg,L0,25,0.03506311360448808,0.0,0.0,0.0,1.0,0.0
global_as16509_final,octant_cbg,L1,94,0.13183730715287517,0.648936170212766,0.46808510638297873,0.18085106382978725,0.35106382978723405,0.3388888888888889
global_as16509_final,octant_cbg,L2,105,0.14726507713884993,0.21904761904761905,0.21904761904761905,0.0,0.780952380952381,0.12777777777777777
global_as16509_final,octant_cbg,L3,269,0.37727910238429174,0.08178438661710037,0.0,0.08178438661710037,0.9182156133828996,0.12222222222222222
global_as16509_final,octant_cbg,L0,245,0.3436185133239832,0.3020408163265306,0.11428571428571428,0.18775510204081633,0.6979591836734694,0.4111111111111111
global_as16509_final,spotter_cbg,L1,19,0.02664796633941094,0.2631578947368421,0.10526315789473684,0.15789473684210525,0.7368421052631579,0.1
global_as16509_final,spotter_cbg,L2,5,0.0070126227208976155,0.0,0.0,0.0,1.0,0.0
global_as16509_final,spotter_cbg,L3,65,0.091164095371669,0.06153846153846154,0.0,0.06153846153846154,0.9384615384615385,0.08
global_as16509_final,spotter_cbg,L0,624,0.8751753155680224,0.06570512820512821,0.0016025641025641025,0.0641025641025641,0.9342948717948718,0.82
global_as16509_final,vanilla_cbg,L1,93,0.13043478260869565,0.8709677419354839,0.7741935483870968,0.0967741935483871,0.12903225806451613,0.4682080924855491
global_as16509_final,vanilla_cbg,L2,253,0.3548387096774194,0.16205533596837945,0.16205533596837945,0.0,0.8379446640316206,0.23699421965317918
global_as16509_final,vanilla_cbg,L3,269,0.37727910238429174,0.09293680297397769,0.0,0.09293680297397769,0.9070631970260223,0.14450867052023122
global_as16509_final,vanilla_cbg,L0,98,0.13744740532959326,0.2653061224489796,0.08163265306122448,0.1836734693877551,0.7346938775510204,0.15028901734104047
global_as31898_final,million_scale_cbg,L1,59,0.08274894810659186,0.6610169491525424,0.5932203389830508,0.06779661016949153,0.3389830508474576,0.24375
global_as31898_final,million_scale_cbg,L2,325,0.45582047685834504,0.2953846153846154,0.2953846153846154,0.0,0.7046153846153846,0.6
global_as31898_final,million_scale_cbg,L3,282,0.3955119214586255,0.08865248226950355,0.0,0.08865248226950355,0.9113475177304965,0.15625
global_as31898_final,million_scale_cbg,L0,47,0.06591865357643759,0.0,0.0,0.0,1.0,0.0
global_as31898_final,octant_cbg,L1,71,0.09957924263674614,0.7887323943661971,0.7323943661971831,0.056338028169014086,0.2112676056338028,0.3146067415730337
global_as31898_final,octant_cbg,L2,111,0.15568022440392706,0.21621621621621623,0.21621621621621623,0.0,0.7837837837837838,0.1348314606741573
global_as31898_final,octant_cbg,L3,249,0.3492286115007013,0.08433734939759036,0.0,0.08433734939759036,0.9156626506024096,0.11797752808988764
global_as31898_final,octant_cbg,L0,282,0.3955119214586255,0.2730496453900709,0.14184397163120568,0.13120567375886524,0.7269503546099291,0.43258426966292135
global_as31898_final,spotter_cbg,L1,31,0.043478260869565216,0.0967741935483871,0.03225806451612903,0.06451612903225806,0.9032258064516129,0.06
global_as31898_final,spotter_cbg,L2,9,0.012622720897615708,0.1111111111111111,0.1111111111111111,0.0,0.8888888888888888,0.02
global_as31898_final,spotter_cbg,L3,83,0.11640953716690042,0.03614457831325301,0.0,0.03614457831325301,0.963855421686747,0.06
global_as31898_final,spotter_cbg,L0,590,0.8274894810659187,0.07288135593220339,0.001694915254237288,0.0711864406779661,0.9271186440677966,0.86
global_as31898_final,vanilla_cbg,L1,78,0.1093969144460028,0.8205128205128205,0.7564102564102564,0.0641025641025641,0.1794871794871795,0.3595505617977528
global_as31898_final,vanilla_cbg,L2,245,0.3436185133239832,0.24897959183673468,0.24897959183673468,0.0,0.7510204081632653,0.34269662921348315
global_as31898_final,vanilla_cbg,L3,276,0.3870967741935484,0.08695652173913043,0.0,0.08695652173913043,0.9130434782608695,0.1348314606741573
global_as31898_final,vanilla_cbg,L0,114,0.15988779803646563,0.2543859649122807,0.03508771929824561,0.21929824561403508,0.7456140350877193,0.16292134831460675
north_america_as7018_final_us,million_scale_cbg,L1,6,0.0625,1.0,1.0,0.0,0.0,0.14285714285714285
north_america_as7018_final_us,million_scale_cbg,L2,31,0.3229166666666667,0.5483870967741935,0.5483870967741935,0.0,0.45161290322580644,0.40476190476190477
north_america_as7018_final_us,million_scale_cbg,L3,57,0.59375,0.3333333333333333,0.0,0.3333333333333333,0.6666666666666666,0.4523809523809524
north_america_as7018_final_us,million_scale_cbg,L0,2,0.020833333333333332,0.0,0.0,0.0,1.0,0.0
north_america_as7018_final_us,octant_cbg,L1,32,0.3333333333333333,0.78125,0.40625,0.375,0.21875,0.5102040816326531
north_america_as7018_final_us,octant_cbg,L2,2,0.020833333333333332,0.0,0.0,0.0,1.0,0.0
north_america_as7018_final_us,octant_cbg,L3,11,0.11458333333333333,0.18181818181818182,0.0,0.18181818181818182,0.8181818181818182,0.04081632653061224
north_america_as7018_final_us,octant_cbg,L0,51,0.53125,0.43137254901960786,0.19607843137254902,0.23529411764705882,0.5686274509803921,0.4489795918367347
north_america_as7018_final_us,spotter_cbg,L1,5,0.052083333333333336,0.0,0.0,0.0,1.0,0.0
north_america_as7018_final_us,spotter_cbg,L2,0,0.0,,,,,0.0
north_america_as7018_final_us,spotter_cbg,L3,1,0.010416666666666666,0.0,0.0,0.0,1.0,0.0
north_america_as7018_final_us,spotter_cbg,L0,90,0.9375,0.06666666666666667,0.0,0.06666666666666667,0.9333333333333333,1.0
north_america_as7018_final_us,vanilla_cbg,L1,17,0.17708333333333334,0.9411764705882353,0.5882352941176471,0.35294117647058826,0.058823529411764705,0.36363636363636365
north_america_as7018_final_us,vanilla_cbg,L2,6,0.0625,0.5,0.5,0.0,0.5,0.06818181818181818
north_america_as7018_final_us,vanilla_cbg,L3,52,0.5416666666666666,0.36538461538461536,0.0,0.36538461538461536,0.6346153846153846,0.4318181818181818
north_america_as7018_final_us,vanilla_cbg,L0,21,0.21875,0.2857142857142857,0.047619047619047616,0.23809523809523808,0.7142857142857143,0.13636363636363635
north_america_as7922_final_us,million_scale_cbg,L1,6,0.0625,0.6666666666666666,0.5,0.16666666666666666,0.3333333333333333,0.10526315789473684
north_america_as7922_final_us,million_scale_cbg,L2,14,0.14583333333333334,0.8571428571428571,0.8571428571428571,0.0,0.14285714285714285,0.3157894736842105
north_america_as7922_final_us,million_scale_cbg,L3,76,0.7916666666666666,0.2894736842105263,0.0,0.2894736842105263,0.7105263157894737,0.5789473684210527
north_america_as7922_final_us,million_scale_cbg,L0,0,0.0,,,,,0.0
north_america_as7922_final_us,octant_cbg,L1,15,0.15625,0.5333333333333333,0.3333333333333333,0.2,0.4666666666666667,0.1509433962264151
north_america_as7922_final_us,octant_cbg,L2,1,0.010416666666666666,1.0,1.0,0.0,0.0,0.018867924528301886
north_america_as7922_final_us,octant_cbg,L3,9,0.09375,0.1111111111111111,0.0,0.1111111111111111,0.8888888888888888,0.018867924528301886
north_america_as7922_final_us,octant_cbg,L0,71,0.7395833333333334,0.6056338028169014,0.2676056338028169,0.3380281690140845,0.39436619718309857,0.8113207547169812
north_america_as7922_final_us,spotter_cbg,L1,5,0.052083333333333336,0.4,0.0,0.4,0.6,0.13333333333333333
north_america_as7922_final_us,spotter_cbg,L2,0,0.0,,,,,0.0
north_america_as7922_final_us,spotter_cbg,L3,3,0.03125,0.0,0.0,0.0,1.0,0.0
north_america_as7922_final_us,spotter_cbg,L0,88,0.9166666666666666,0.14772727272727273,0.03409090909090909,0.11363636363636363,0.8522727272727273,0.8666666666666667
north_america_as7922_final_us,vanilla_cbg,L1,19,0.19791666666666666,0.8947368421052632,0.5263157894736842,0.3684210526315789,0.10526315789473684,0.5
north_america_as7922_final_us,vanilla_cbg,L2,0,0.0,,,,,0.0
north_america_as7922_final_us,vanilla_cbg,L3,31,0.3229166666666667,0.3870967741935484,0.0,0.3870967741935484,0.6129032258064516,0.35294117647058826
north_america_as7922_final_us,vanilla_cbg,L0,46,0.4791666666666667,0.10869565217391304,0.0,0.10869565217391304,0.8913043478260869,0.14705882352941177
